"Websocial","Websocial"
"Configuration","Configurações"
"Enabled","Habilitado"
"Facebook options","Opções do Facebook"
"Facebook icon type","Tipo do icone"
"Facebook custom share icon image","Imagem personalizada para o botão share"
"Facebook like button","Botão like"
"Facebook share button","Botão share"
"Show faces","Mostrar rostos"
"Google+ options","Opçoẽs Google+"
"Google+ icon type","Tipo do icone"
"Twitter options","Opções Twitter"
"Twitter icon size","Tamanho do icone"
"Twitter icon style","Estilo do icone"
"Twitter tweet button","Botão Tweet"
"Twitter follow button","Botão Seguir"
"Pinterest options","Opçoẽs Pinterest"
"Pinterest follow icon","Botão seguir"
"Pinterest pinit icon","Botão pinit"
"Orkut options","Opções do Orkut"
"Orkut icon type","Tipo de icone"
"Twitter follow user","Usuário do Twitter"
"Pinterest follow user","Usuário do Pinterest"
"No","Não"
"Yes","Sim"
"Language","Idioma"