"Zip/Postal Code","CEP"
"Please wait...","Por favor, aguarde..."
"txt.MsgPagSeg1","- Após fechar o pedido, aguarde até a abertura da janela de pagamento. <br/> - Ao realizar o pagamento, clique em 'Voltar para a loja' no ambiente do PagSeguro <br/> - Aguarde 10 segundos para a confirmação do pagamento."
"txt.MsgPagSeg2","  Você está sendo redirecionado para o PagSeguro. Por favor, aguarde..."
"txt.MsgPagSegDiscount1","* Com desconto de "
"txt.MsgErro","O pagamento não foi processado com sucesso. Motivo(s): "
"txt.MsgErroAjuda","Em caso de dúvidas, entre em contato com o PagSeguro e informe o código do erro apresentado."
"txt.MsgErroAjuda2","Em caso de dúvidas, entre em contato com o PagSeguro."
"txt.MsgErroConexao","Ocorreu um erro ao enviar o pedido ao PagSeguro, por favor, tente mais tarde."
"txt.undefined","Não possível processar essa requisição. Por favor, entre em contato com a loja informando o código: "
"txt.10001","Não possível processar essa requisição. Por favor, entre em contato com a loja informando o código: 10001."
"txt.10002","Não possível processar essa requisição. Por favor, entre em contato com a loja informando o código: 10002."
"txt.10003","Não possível processar essa requisição. Por favor, entre em contato com a loja informando o código: 10003."
"txt.11001","11001: É necessário informar um email válido (revise seu cadastro na loja)."
"txt.11002","11002: É necessário informar um email válido (revise seu cadastro na loja)."
"txt.11003","11003: É necessário informar um email válido (revise seu cadastro na loja)."
"txt.11009","11009: É necessário informar um email válido (revise seu cadastro na loja)."
"txt.11010","11010: É necessário informar um email válido (revise seu cadastro na loja)."
"txt.11011","11011: Informe seu nome corretamente (revise seu cadastro na loja)."
"txt.11012","11012: Informe seu nome corretamente (revise seu cadastro na loja)."
"txt.11013","11013: Verifique se você informou o DDD (revise seu cadastro na loja)."
"txt.11014","11014: Informe um número de telefone válido (revise seu cadastro na loja)."
"txt.11017","11017: Informe um CEP válido (revise seu cadastro na loja)."
"txt.11018","11018: Informe seu endereço (rua) corretamente (revise seu cadastro na loja)."
"txt.11019","11019: Informe seu endereço (número) corretamente (revise seu cadastro na loja)."
"txt.11020","11020: Informe seu endereço (complemento) corretamente (revise seu cadastro na loja)."
"txt.11021","11021: Informe seu endereço (bairro) corretamente (revise seu cadastro na loja)."
"txt.11022","11022: Informe sua cidade corretamente (revise seu cadastro na loja)."
"txt.11023","11023: Informe seu estado corretamente (revise seu cadastro na loja)."
"txt.11157","11157: Informe seu CPF corretamente (revise seu cadastro na loja)."
"txt.11164","11164: Informe seu CPF corretamente (revise seu cadastro na loja)."
"txt.MsgToken","Token de convênio inválido. Por favor, entre em contato com a loja e informe a mensagem de erro apresentada."
"txt.telefoneInvalido","Você informou um telefone inválido. Por favor, revise seu cadastro."
"Payment Discount","Desconto"
"txt.msgUserClosedLightbox","Cliente fechou a janela antes de concluir o pagamento."
"txt.aguardandoRetornoPagSeg","Recebendo informações de pagamento. <br/>Por favor, aguarde..."
"txt.abortarPagamento","Recebendo informações de pagamento. <br/>Por favor, aguarde..."
"txt.iniciandoPagamento","Iniciando pagamento. <br/> Por favor, aguarde..."
"txt.sourceInternal","A transação foi cancelada pelo PagSeguro sem ter sido finalizada."
"txt.sourceExternal","A transação foi cancelado pelo Banco Emissor ou Operadora do Cartão sem ter sido finalizada."
"txt.sourceUnknown","A transação foi cancelada sem ter sido finalizada."
"txt.oPedido","O Pedido"